"","face_name_align","race","race4","gender","age","race_scores_fair","race_scores_fair_4","gender_scores_fair","age_scores_fair"
"1835","792440","Middle Eastern","White","Male","30-39","[1.8330497e-01 5.9925206e-04 1.4050725e-01 1.5821497e-05 3.9610837e-05
 4.5831017e-03 6.7095000e-01]","[9.9829924e-01 2.9690345e-04 1.4171351e-04 1.2620970e-03]","[9.999970e-01 2.923661e-06]","[2.3425562e-06 9.3783365e-06 2.2787231e-04 1.0951448e-01 7.5309616e-01
 1.3506329e-01 2.0534866e-03 3.2537195e-05 4.0986049e-07]"
"1836","191178","Latino_Hispanic","White","Male","30-39","[2.9869458e-01 5.5043943e-02 3.3149585e-01 1.6537678e-04 5.0246116e-04
 2.2668537e-02 2.9142931e-01]","[0.5177999  0.17925432 0.00496396 0.29798174]","[9.9999708e-01 2.9372586e-06]","[1.7705121e-06 7.7991812e-05 2.0551682e-03 3.2267559e-01 6.3461655e-01
 4.0309679e-02 2.6131998e-04 1.9065457e-06 2.2633383e-08]"
"1837","1165609","White","White","Male","20-29","[4.9505204e-01 1.5701593e-03 8.5016601e-02 1.7654394e-04 2.8929402e-04
 1.6949388e-04 4.1772580e-01]","[0.9609417  0.03488944 0.00227737 0.00189151]","[9.9999952e-01 4.2803822e-07]","[3.44559879e-07 2.77445011e-04 1.12338096e-01 8.68859589e-01
 1.84328873e-02 9.13291296e-05 3.49625623e-07 2.18424763e-08
 4.31013031e-10]"
"1838","175415","White","White","Male","30-39","[5.0179803e-01 2.6681393e-02 1.9035853e-01 1.1904052e-05 6.2852974e-05
 1.4073699e-03 2.7967989e-01]","[0.5857993  0.40249014 0.0019509  0.00975971]","[9.9999374e-01 6.3082648e-06]","[2.5739072e-07 7.8241483e-06 1.1896067e-03 3.5508841e-01 5.9569871e-01
 4.7293209e-02 7.1770314e-04 4.1593021e-06 5.1774087e-08]"
"1839","990688","Black","Black","Male","30-39","[1.4215532e-02 4.9775043e-01 4.3722469e-01 1.7493844e-06 3.9675033e-05
 8.5598156e-03 4.2208109e-02]","[5.4130731e-03 9.9097013e-01 4.8177037e-04 3.1350015e-03]","[9.9999988e-01 1.2642694e-07]","[1.0099955e-06 1.2196886e-05 1.8573321e-03 4.8685303e-01 4.8738831e-01
 2.3660854e-02 2.2397142e-04 3.2677790e-06 2.9794609e-08]"
"1840","204300","Latino_Hispanic","Indian","Male","30-39","[0.03528262 0.00846545 0.7455403  0.00270855 0.01413873 0.15365447
 0.04020982]","[0.0677807  0.02156842 0.14219408 0.7684568 ]","[9.9998701e-01 1.3030048e-05]","[1.6563281e-06 4.1520150e-05 1.1088668e-03 2.3016350e-01 6.9003743e-01
 7.7924974e-02 7.1241730e-04 9.6664689e-06 9.4398082e-08]"
"1841","308182","White","White","Male","20-29","[8.5048854e-01 4.8657219e-04 7.8395605e-02 1.8963998e-05 1.0469650e-04
 7.9530030e-03 6.2552676e-02]","[9.9556822e-01 9.7413715e-05 4.9508169e-05 4.2847600e-03]","[9.9999857e-01 1.3627183e-06]","[4.7885894e-08 1.1276386e-06 4.8948725e-04 6.0955340e-01 3.8551381e-01
 4.4321693e-03 9.8240071e-06 8.9139348e-08 1.7031430e-09]"
"1842","842419","Black","Black","Male","30-39","[3.1839979e-03 8.6605781e-01 7.3575042e-02 1.1858411e-05 2.1967322e-04
 3.9216474e-02 1.7735133e-02]","[6.3136005e-04 9.9174982e-01 5.2513368e-04 7.0936168e-03]","[9.9999964e-01 3.8154289e-07]","[3.6244896e-06 6.6488850e-05 2.6094024e-03 4.8588908e-01 4.8916352e-01
 2.2023989e-02 2.3997419e-04 3.8552366e-06 8.1125386e-08]"
"1843","158235","Black","Black","Male","30-39","[1.7897207e-02 8.2353181e-01 8.0791011e-02 3.0928975e-05 4.1968701e-04
 3.4770489e-02 4.2558867e-02]","[0.0075628  0.84008867 0.00121972 0.15112875]","[9.9999487e-01 5.1171705e-06]","[9.2298927e-07 5.3813390e-05 2.0821344e-03 3.5425380e-01 6.0802734e-01
 3.5415716e-02 1.6399445e-04 2.2712779e-06 4.0136936e-08]"
"1844","157641","Middle Eastern","White","Male","20-29","[8.9504100e-02 4.6450566e-03 2.1755338e-01 6.0573344e-05 3.1816153e-04
 7.8176660e-03 6.8010104e-01]","[0.8925593  0.01618432 0.00180772 0.08944868]","[9.9999911e-01 9.0580187e-07]","[1.33979745e-06 2.24169751e-04 1.81374270e-02 8.17147017e-01
 1.62101224e-01 2.38269824e-03 5.99696978e-06 1.16057834e-07
 1.73613712e-09]"
"1845","927292","Black","Black","Male","20-29","[2.3091820e-06 9.9995458e-01 2.6667067e-05 3.1511338e-08 2.0300392e-07
 1.3715590e-05 2.4497056e-06]","[5.6069348e-07 9.9999696e-01 5.5243686e-07 2.0067960e-06]","[9.994503e-01 5.496853e-04]","[4.0561724e-07 4.1189184e-04 1.0101680e-01 7.7236778e-01 1.2016043e-01
 5.9572011e-03 8.4285493e-05 1.2622661e-06 4.3836920e-08]"
"1846","1047931","White","White","Male","20-29","[7.5884092e-01 8.7781827e-04 6.8011843e-02 1.6975659e-04 6.3785940e-04
 3.8981556e-03 1.6756368e-01]","[0.5702776  0.04100259 0.00738017 0.38133964]","[9.9982387e-01 1.7609644e-04]","[6.75261802e-08 1.37524157e-05 1.55243957e-02 7.88882792e-01
 1.92896426e-01 2.66708410e-03 1.52527045e-05 2.40448571e-07
 7.50684492e-09]"
"1847","190859","Black","Black","Male","20-29","[1.8300276e-03 7.6948291e-01 9.9800088e-02 8.3911080e-05 2.0792596e-03
 6.6466227e-02 6.0257550e-02]","[3.6463499e-04 9.8319411e-01 1.5725354e-04 1.6284036e-02]","[9.9999994e-01 4.0980748e-08]","[1.1897202e-07 1.6667552e-06 6.2300684e-04 5.3538746e-01 4.4865018e-01
 1.5253292e-02 8.3326922e-05 9.2861933e-07 1.9809184e-08]"
"1848","340343","White","White","Male","30-39","[9.9453008e-01 1.5530935e-05 5.2415364e-04 1.6796071e-06 5.1382249e-06
 9.1189613e-06 4.9142400e-03]","[9.9974036e-01 2.2178488e-04 2.4120698e-05 1.3825319e-05]","[0.9961298  0.00387015]","[3.7760308e-06 1.5085345e-04 3.3153303e-03 2.7858704e-01 6.5799332e-01
 5.9354931e-02 5.8736547e-04 7.1356931e-06 1.8792097e-07]"
"1849","338099","White","White","Male","20-29","[6.2143117e-01 3.3091416e-04 6.5047584e-02 7.4016207e-05 1.7298956e-04
 4.6542328e-04 3.1247789e-01]","[9.9769026e-01 4.0581299e-04 1.1463373e-03 7.5756194e-04]","[9.999941e-01 5.925161e-06]","[2.1836895e-08 2.7509666e-06 1.1834110e-03 6.3594651e-01 3.6044014e-01
 2.4253179e-03 1.7834477e-06 1.1435272e-08 1.5335028e-10]"
"1850","863991","Black","Black","Male","20-29","[1.9081385e-06 9.9998987e-01 3.8669523e-06 3.4910936e-09 5.7280257e-08
 3.2579264e-06 9.6530152e-07]","[2.3886653e-06 9.9999231e-01 3.2568028e-07 4.9678706e-06]","[9.999851e-01 1.488942e-05]","[3.36499795e-07 6.10258954e-04 1.10914931e-01 7.71582186e-01
 1.14223056e-01 2.64189974e-03 2.64514838e-05 9.06043624e-07
 4.86505591e-08]"
