"","race","race4","gender","age","race_scores_fair","race_scores_fair_4","gender_scores_fair","age_scores_fair","ID","black","Skin3"
"1564","Black","Black","Male","30-39","[9.6075757e-07 9.9996114e-01 1.4137402e-05 1.1958120e-07 9.2455844e-07
 1.9956480e-05 2.7082465e-06]","[1.1927754e-06 9.9997616e-01 1.5687025e-05 7.0114347e-06]","[0.8407059 0.1592941]","[1.2323068e-06 3.7319449e-04 2.4106506e-02 3.7468284e-01 5.6333578e-01
 3.6908887e-02 5.8767159e-04 3.7182533e-06 1.4538571e-07]","801003",1,"Black"
"1565","Latino_Hispanic","White","Male","20-29","[2.8333318e-01 1.3030573e-02 4.3213227e-01 2.7120466e-04 2.0362041e-03
 1.1822725e-02 2.5737378e-01]","[0.823064   0.11359272 0.01470339 0.04863988]","[9.9999982e-01 1.8913966e-07]","[8.79738238e-08 4.15418544e-05 1.12902425e-01 8.52740705e-01
 3.39665413e-02 3.47470224e-04 1.14267743e-06 8.06020708e-08
 1.05246489e-09]","801005",NA,NA
"1566","White","White","Male","30-39","[8.83723080e-01 7.19298376e-04 9.30247828e-03 8.84332694e-05
 1.26647952e-04 2.95092788e-04 1.05745055e-01]","[9.8378080e-01 9.6291518e-03 9.6143706e-04 5.6286161e-03]","[1.000000e+00 4.104478e-08]","[1.1479797e-06 3.7324839e-06 8.9680043e-04 2.4050002e-01 6.1987698e-01
 1.3218449e-01 6.2849098e-03 2.4859665e-04 3.2905837e-06]","801030",0,"White"
"1567","Black","Black","Male","30-39","[2.0141951e-07 9.9999619e-01 2.8280542e-06 5.4506883e-09 7.2684408e-08
 4.5890616e-07 2.2764679e-07]","[2.2687482e-07 9.9999845e-01 3.7591667e-07 8.8729786e-07]","[9.999960e-01 4.036712e-06]","[1.48867575e-05 1.04520319e-03 1.85131542e-02 4.29295272e-01
 4.64509040e-01 8.53484869e-02 1.25341851e-03 1.92234384e-05
 1.30425110e-06]","801067",1,"Black"
"1568","Latino_Hispanic","White","Male","20-29","[3.3063644e-01 4.6444358e-03 4.4034612e-01 1.4192944e-04 9.3340204e-04
 1.2538388e-02 2.1075930e-01]","[0.6684526  0.17441803 0.008237   0.14889233]","[9.999168e-01 8.323850e-05]","[1.5129177e-06 1.7034779e-05 2.7975249e-03 5.7775503e-01 4.0556031e-01
 1.3755164e-02 1.1088512e-04 2.3749838e-06 5.1996807e-08]","801211",0,"Medium"
"1569","Black","Black","Male","30-39","[1.4834029e-06 9.9988347e-01 7.4483476e-05 9.0397441e-07 1.2478845e-05
 2.7044216e-05 1.4150862e-07]","[2.4449109e-06 9.9971515e-01 2.3978023e-04 4.2555086e-05]","[9.9958098e-01 4.1895546e-04]","[4.70584237e-05 9.60939797e-04 1.31698279e-02 3.38483810e-01
 5.20348132e-01 1.21361926e-01 5.56003349e-03 6.45249747e-05
 3.69748182e-06]","801212",1,"Black"
"1570","Black","Black","Male","30-39","[5.3351766e-08 9.9997681e-01 9.0506119e-06 1.1756668e-08 3.6853476e-07
 1.3784947e-05 2.3286875e-08]","[1.1994938e-06 9.9997574e-01 1.0969945e-05 1.2097475e-05]","[9.999310e-01 6.903225e-05]","[6.3261637e-06 2.2209637e-04 1.0014507e-02 3.7167808e-01 5.4102880e-01
 7.5624615e-02 1.3971841e-03 2.6794190e-05 1.5834440e-06]","801212",1,"Black"
"1571","East Asian","Asian","Male","20-29","[5.0754484e-04 3.4050868e-06 9.1310911e-04 8.8224679e-01 1.1614674e-01
 5.4261363e-05 1.2821530e-04]","[8.9015625e-04 7.6498378e-05 9.9866158e-01 3.7174753e-04]","[9.9999917e-01 7.5654066e-07]","[7.5316180e-08 8.2616752e-06 1.9558381e-02 8.0734819e-01 1.6737856e-01
 5.5880472e-03 1.1428376e-04 4.2870101e-06 3.1798827e-08]","801243",0,"Medium"
"1572","White","White","Male","20-29","[6.2842381e-01 8.4736040e-03 1.4532033e-01 3.7904459e-04 1.3034079e-03
 9.9168054e-04 2.1510814e-01]","[9.901634e-01 9.534967e-03 9.270473e-05 2.089471e-04]","[9.9998546e-01 1.4558605e-05]","[5.0865101e-06 2.2643164e-04 1.7797157e-02 7.0316797e-01 2.6797897e-01
 1.0695974e-02 1.2506079e-04 3.2564153e-06 6.7770507e-08]","801246",0,"White"
"1573","White","White","Male","20-29","[8.5119069e-01 3.9333579e-05 5.8365897e-03 6.5445979e-06 2.3509278e-05
 1.2241973e-04 1.4278094e-01]","[9.9903321e-01 2.9283544e-04 2.6408987e-05 6.4754434e-04]","[1.0000000e+00 2.7408708e-08]","[2.4756059e-07 3.6801197e-05 1.0933184e-02 8.9804029e-01 8.9866802e-02
 1.1193781e-03 3.2599805e-06 3.4891780e-08 4.3634654e-10]","801263",0,"White"
"1574","Black","Black","Male","30-39","[2.7845651e-03 7.8314525e-01 8.0358535e-02 1.6197211e-05 4.0446900e-04
 1.3043961e-01 2.8513428e-03]","[4.2268637e-04 9.8271835e-01 6.4032851e-05 1.6794914e-02]","[9.999999e-01 7.838671e-08]","[1.16526530e-06 4.76764690e-05 4.39510727e-03 4.56634521e-01
 4.85747993e-01 5.20181768e-02 1.14719104e-03 8.08525874e-06
 1.06901844e-07]","801280",1,"Black"
"1575","Black","Black","Male","20-29","[8.6290572e-07 9.9994737e-01 9.5940914e-06 5.6511269e-08 9.5807843e-07
 3.8764938e-05 2.3135965e-06]","[6.1974890e-07 9.9999756e-01 3.9471666e-07 1.4584730e-06]","[9.9984080e-01 1.5921453e-04]","[2.6770698e-07 1.0083514e-05 6.6646701e-03 5.7594961e-01 3.5700187e-01
 5.8217324e-02 2.0814515e-03 6.9572336e-05 5.0478075e-06]","801287",1,"Black"
"1576","Black","Black","Male","20-29","[5.0498631e-08 9.9999285e-01 2.1963222e-06 7.9402479e-10 3.2149295e-08
 4.5808092e-06 2.5910569e-07]","[1.7666974e-07 9.9999624e-01 5.8072703e-07 3.0364690e-06]","[1.000000e+00 7.678144e-09]","[3.4972825e-09 9.9139527e-07 2.9124159e-03 7.1933317e-01 2.6781175e-01
 9.9048456e-03 3.6375979e-05 5.0437677e-07 1.1676256e-08]","801296",1,"Black"
"1577","White","White","Male","30-39","[5.0718188e-01 2.1071975e-04 1.3190059e-01 9.5141288e-05 2.1970051e-04
 4.1813608e-02 3.1857842e-01]","[0.668054   0.00213115 0.00185011 0.32796472]","[9.9985385e-01 1.4613816e-04]","[5.4711603e-07 6.5464828e-06 2.7787936e-04 1.5140928e-01 7.5283921e-01
 9.4884433e-02 5.7843915e-04 3.5669048e-06 8.3025249e-08]","801306",0,"White"
"1578","Black","Black","Male","20-29","[7.3716932e-05 9.9277121e-01 1.4858735e-03 2.3484114e-08 1.1926593e-06
 4.0296139e-03 1.6383991e-03]","[2.5323914e-06 9.9992639e-01 4.9376246e-07 7.0656919e-05]","[9.9999791e-01 2.1135136e-06]","[5.3045159e-09 5.3726978e-07 2.1718175e-03 6.0021812e-01 3.8836792e-01
 9.1570644e-03 8.2716484e-05 1.8222906e-06 2.7895165e-08]","801378",1,"Black"
